title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
中青年失眠的流行病学及发病机制研究进展,郝雅楠， 吴晓青,2023,8,"… 失眠患病率在9.4% ~ 38.2%,6项研究总人数的平均患病率为… 成人的失眠患病率,在2000—2010年 期间由13.1%上升至15.2%. 1.2 国内的流行现状及特点目前国内对于中 青年失眠的流行病学…",c-hiUT8gH1QJ,"郝雅楠， 吴晓青 - 中国疗养医学, 2023 - zglyyx.com",[],https://www.zglyyx.com/CN/PDF/10.13517/j.cnki.ccm.2023.05.007,unknown,unknown
睡眠状况与主要慢性病患病的关系,王丽敏， 关云琦,2020,8,"… 或失眠可导致高血压,糖尿病,肥胖和血脂异常等主要慢性病患病/… 现患率上升趋势减缓”作为预期指标和“成人睡眠7~8 h”作为倡导性… 中国疾病预防控制中心, 中国疾病预防控制中心慢性非传染性…",nXNmbJRgPY8J,"王丽敏， 关云琦 - 中华流行病学杂志, 2020 - html.rhhz.net",[],https://html.rhhz.net/zhlxbx/20200814.htm,unknown,unknown
内蒙古自治区失眠患病率汉蒙民族差异的现况调查.,陈彦超， 陈丽霞， 刘肇瑞， 严洁， 王瑞琪…,2022,3,"… [摘要]目的:探索内蒙古自治区成人失眠的患病率及危险因素,并比较汉族和蒙古族的民族差异.… 失眠的 患病率和危险因素存在民族差异[14-15].中国民族 众多,虽有部分省市进行过相关流行病学…",I_Ys7iZdqAgJ,"陈彦超， 陈丽霞， 刘肇瑞， 严洁， 王瑞琪… - … Xinli Weisheng Zazhi, 2022 - openurl.ebsco.com",[],https://openurl.ebsco.com/contentitem/gcd:158147231?sid=ebsco:plink:crawler-gcd&id=ebsco:gcd:158147231&crl=c&jrnl=10006729,unknown,unknown
失眠障碍的研究现状与展望,李双艳， 张斌,2024,13,"… 睡眠障碍,约10% 的成年人受到失眠症状困扰, 女性失眠患病率… 成人失眠的频率和持续时间标准可能不适用 于1 岁以内的幼儿.… 仅因为我国疾病流行病学大规模调查研究起 步较晚,中国幅员辽阔…",x_0iiHTpyv0J,"李双艳， 张斌 - 实用医学杂志, 2024 - syyxzz.com",[],https://www.syyxzz.com/CN/10.3969/j.issn.1006-5725.2024.06.001,unknown,unknown
失眠的流行病学研究进展,刘珏， 刘民,2013,13,,_oY49dyMapwJ,"刘珏， 刘民 - 中华健康管理学杂志, 2013",[],,unknown,unknown
