title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
2013-2022 年中国肠道传染病流行特征分析,田雪莹， 金柏君， 师悦， 郑学东， 寇增强， 张彦平…,2025,8,"… 中国疾病预防控制信息系统收集整理2013-2022年全国法定报告传染病中肠道传染病发病数据,采用描述性统计方法分析肠道传染病… 男性各种肠道传染病报告发病率均显著高于女性(均P<0.05)…",IR26eA5BhdIJ,"田雪莹， 金柏君， 师悦， 郑学东， 寇增强， 张彦平… - 中华流行病学 …, 2025 - chinaepi.icdc.cn",[],http://chinaepi.icdc.cn/zhlxbx/ch/reader/view_abstract.aspx?file_no=20250506&flag=1,unknown,unknown
2019 年中国胃食管反流病疾病负担分析及年变化趋势研究,马学锋， 黄俊， 李娜， 邵慧娟， 卢利霞， 于晓辉…,2024,15,"… %,标化率下降0.29%.1996 年之后标化发病率,患病率和DALY 率均低于粗率.1990—2019 年中国 女性标化发病率,患病率,DALY 率均高于男性.Joinpoint 回归分析结果显示,1990—1994 年…",gwCDFpj5RZIJ,"马学锋， 黄俊， 李娜， 邵慧娟， 卢利霞， 于晓辉… - 中国全科医学, 2024 - sciengine.com",[],https://www.sciengine.com/doi/pdf/0BC471FCCF3D45069A734F50BC933408,unknown,unknown
不同体重指数男性不育症患者早泄评估,白双勇， 王剑松， 赵庆华,2014,0,"… 男性患者早泄患病率为0.7%,25<BMI≤30为12.5%;BMI>30为12.2%,超重,肥胖男性早泄患病率… Son等[9]报道BMI<23.0,23.0≤BMI<25.0,BMI≥25的男性早泄患病率分别为40%,25.5%,34.5%.…",bDu0vXoYpWQJ,"白双勇， 王剑松， 赵庆华 - 中国生育健康杂志, 2014 - cjrh.bjmu.edu.cn",[],http://cjrh.bjmu.edu.cn/CN/article/downloadArticleFile.do?attachType=HTML&id=4341,unknown,unknown
早泄的流行病学研究,温晖， 丁强， 张元芳,2006,12,,0GUDVbYbntYJ,"温晖， 丁强， 张元芳 - 国际泌尿系统杂志, 2006",[],,unknown,unknown
中国慢性前列腺炎的流行病学特征,米华， 陈凯， 莫曾南,2012,104,,0mgqVUU-pkoJ,"米华， 陈凯， 莫曾南 - 中华男科学杂志, 2012",[],,unknown,unknown
